field_index,ra0_deg,dec0_deg,target_name,n_target_names,Nvisits,field_mjd_min,field_mjd_max,field_span_days,field_span_years,ebv_mw,R_u_mw,A_u_mw,R_g_mw,A_g_mw,R_r_mw,A_r_mw,R_i_mw,A_i_mw,R_z_mw,A_z_mw,R_y_mw,A_y_mw
12,64.59921806634283,-12.86559417087676,lowdust,1,813,61305.32497857711,64773.0493446012,3467.7243660240856,9.49411188507621,0.06888435035943985,4.757217815396922,0.32769785873197066,3.6605664439892616,0.25215574144176517,2.70136780871597,0.18608196658530318,2.0536599130965882,0.14146502897288218,1.5900964472616756,0.10953276077847383,1.3077049588254708,0.0900804065505106
13,98.21457021668562,-2.107591092596913,"GW_case_D_E_457, dusty_plane",1,347,61337.340335064684,64792.03333240407,3454.6929973393853,9.458433942065394,0.9982541799545288,4.757217815396922,4.74891256917413,3.6605664439892616,3.6541757537135657,2.70136780871597,2.6966517066453233,2.0536599130965882,2.050074592453724,1.5900964472616756,1.5873204250098136,1.3077049588254708,1.3054219412947912
14,130.9589963777133,-21.71577535906864,lowdust,1,765,61291.404187032516,64815.98544043115,3524.581253398632,9.649777558928493,0.1429222822189331,4.757217815396922,0.6799124271890953,3.6605664439892616,0.5231765103889896,2.70136780871597,0.38608565233444475,2.0536599130965882,0.2935137616813002,1.5900964472616756,0.2272602131908561,1.3077049588254708,0.18690017718435223
15,250.68380387294687,-46.56964378354715,bulgy,1,799,61213.08135404393,64850.133572754996,3637.052218711069,9.957706279838655,17.388134002685547,4.757217815396922,82.71914085408469,3.6605664439892616,63.6504198538194,2.70136780871597,46.9717454484943,2.0536599130965882,35.709313764867034,1.5900964472616756,27.648810102180228,1.3077049588254708,22.738549060033673
16,254.44146602265522,-18.471356432640857,bulgy,1,675,61209.22394702516,64856.227342313396,3647.003395288237,9.984951116463344,0.35890400409698486,4.757217815396922,1.7073845223074664,3.6605664439892616,1.3137919540108072,2.70136780871597,0.9695317230868595,2.0536599130965882,0.7370667658638315,1.5900964472616756,0.5706919818226055,1.3077049588254708,0.4693405458999442
17,226.06041166197042,-60.866309155900716,"bulgy, GW_case_B_C_555",1,725,61213.00692329092,64848.008076737984,3635.0011534470614,9.952090769191134,1.4244120121002197,4.757217815396922,6.7762382004285415,3.6605664439892616,5.21415481390929,2.70136780871597,3.8478607558358764,2.0536599130965882,2.9252578489834735,1.5900964472616756,2.2649524798774143,1.3077049588254708,1.8627106516340237
18,254.45506988875718,-18.299749418895992,bulgy,1,683,61209.2235015271,64856.227342313396,3647.0038407862958,9.984952336170556,0.32821837067604065,4.757217815396922,1.5614062803206112,3.6605664439892616,1.2014651539975434,2.70136780871597,0.8866385407734619,2.0536599130965882,0.6740489105992614,1.5900964472616756,0.521898865137988,1.3077049588254708,0.4292127909106748
19,323.6300616222135,-65.58954762773423,lowdust,1,704,61208.396302798246,64853.27353344844,3644.8772306501924,9.979129994935503,0.030908072367310524,4.757217815396922,0.14703643250534695,3.6605664439892616,0.11314105255616864,2.70136780871597,0.08349407172251626,2.0536599130965882,0.06347466921183399,1.5900964472616756,0.04914681606296723,1.3077049588254708,0.04041863950246848
20,6.329529854791891,-64.02532525828323,lowdust,1,720,61208.44375249276,64860.44086138239,3651.9971088896273,9.998623159177624,0.01743600144982338,4.757217815396922,0.08294685672638635,3.6605664439892616,0.06382564182457158,2.70136780871597,0.04710105302927786,2.0536599130965882,0.03580761722219627,1.5900964472616756,0.02772492395981358,1.3077049588254708,0.02280114555802213
21,352.6884065111697,-73.81355578828455,euclid_overlap,1,728,61208.43429020156,64852.423180207385,3643.9888900058213,9.97669785080307,0.026143329218029976,4.757217815396922,0.1243695115097991,3.6605664439892616,0.09569939366968455,2.70136780871597,0.07062274796224983,2.0536599130965882,0.05368950720995494,1.5900964472616756,0.04157041490918183,1.3077049588254708,0.03418776125862462
